,State,Year,Quarter,District_name,RegisteredUsers
196,andhra-pradesh,2021,2,visakhapatnam,2526830
197,andhra-pradesh,2021,2,east godavari,2006272
198,andhra-pradesh,2021,2,krishna,2002662
199,andhra-pradesh,2021,2,guntur,1968681
200,andhra-pradesh,2021,2,chittoor,1870723
201,andhra-pradesh,2021,2,anantapur,1492738
202,andhra-pradesh,2021,2,kurnool,1415585
203,andhra-pradesh,2021,2,west godavari,1339377
204,andhra-pradesh,2021,2,spsr nellore,1176334
205,andhra-pradesh,2021,2,prakasam,1151232
206,andhra-pradesh,2021,3,visakhapatnam,2707931
207,andhra-pradesh,2021,3,east godavari,2150622
208,andhra-pradesh,2021,3,krishna,2145423
209,andhra-pradesh,2021,3,guntur,2110878
210,andhra-pradesh,2021,3,chittoor,2007011
211,andhra-pradesh,2021,3,anantapur,1606735
212,andhra-pradesh,2021,3,kurnool,1522196
213,andhra-pradesh,2021,3,west godavari,1436576
214,andhra-pradesh,2021,3,spsr nellore,1263550
215,andhra-pradesh,2021,3,prakasam,1239147
216,andhra-pradesh,2021,4,visakhapatnam,2888774
217,andhra-pradesh,2021,4,east godavari,2294347
218,andhra-pradesh,2021,4,krishna,2288148
219,andhra-pradesh,2021,4,guntur,2252443
220,andhra-pradesh,2021,4,chittoor,2141818
221,andhra-pradesh,2021,4,anantapur,1719437
222,andhra-pradesh,2021,4,kurnool,1628242
223,andhra-pradesh,2021,4,west godavari,1532898
224,andhra-pradesh,2021,4,spsr nellore,1349290
225,andhra-pradesh,2021,4,prakasam,1325728
226,andhra-pradesh,2022,1,visakhapatnam,3061324
227,andhra-pradesh,2022,1,east godavari,2432305
228,andhra-pradesh,2022,1,krishna,2423373
229,andhra-pradesh,2022,1,guntur,2387051
230,andhra-pradesh,2022,1,chittoor,2270705
231,andhra-pradesh,2022,1,anantapur,1827094
232,andhra-pradesh,2022,1,kurnool,1729513
233,andhra-pradesh,2022,1,west godavari,1626039
234,andhra-pradesh,2022,1,spsr nellore,1431664
235,andhra-pradesh,2022,1,prakasam,1408929
236,andhra-pradesh,2022,2,visakhapatnam,3226029
237,andhra-pradesh,2022,2,east godavari,2564165
238,andhra-pradesh,2022,2,krishna,2552107
239,andhra-pradesh,2022,2,guntur,2514794
240,andhra-pradesh,2022,2,chittoor,2392549
241,andhra-pradesh,2022,2,anantapur,1928213
242,andhra-pradesh,2022,2,kurnool,1825280
243,andhra-pradesh,2022,2,west godavari,1714357
244,andhra-pradesh,2022,2,spsr nellore,1509927
245,andhra-pradesh,2022,2,prakasam,1487589
246,andhra-pradesh,2022,3,visakhapatnam,3397514
247,andhra-pradesh,2022,3,east godavari,2702234
248,andhra-pradesh,2022,3,krishna,2685215
249,andhra-pradesh,2022,3,guntur,2647100
250,andhra-pradesh,2022,3,chittoor,2517657
251,andhra-pradesh,2022,3,anantapur,2030824
252,andhra-pradesh,2022,3,kurnool,1924127
253,andhra-pradesh,2022,3,west godavari,1805967
254,andhra-pradesh,2022,3,spsr nellore,1588875
255,andhra-pradesh,2022,3,prakasam,1567520
256,andhra-pradesh,2022,4,visakhapatnam,3566854
257,andhra-pradesh,2022,4,east godavari,2835087
258,andhra-pradesh,2022,4,krishna,2813645
259,andhra-pradesh,2022,4,guntur,2774365
260,andhra-pradesh,2022,4,chittoor,2636036
261,andhra-pradesh,2022,4,anantapur,2128066
262,andhra-pradesh,2022,4,kurnool,2018290
263,andhra-pradesh,2022,4,west godavari,1893310
264,andhra-pradesh,2022,4,spsr nellore,1663684
265,andhra-pradesh,2022,4,prakasam,1642503
266,andhra-pradesh,2023,1,visakhapatnam,3732544
267,andhra-pradesh,2023,1,east godavari,2965296
268,andhra-pradesh,2023,1,krishna,2941585
269,andhra-pradesh,2023,1,guntur,2900895
270,andhra-pradesh,2023,1,chittoor,2755784
271,andhra-pradesh,2023,1,anantapur,2228505
272,andhra-pradesh,2023,1,kurnool,2114023
273,andhra-pradesh,2023,1,west godavari,1980446
274,andhra-pradesh,2023,1,spsr nellore,1740294
275,andhra-pradesh,2023,1,prakasam,1719910
276,andhra-pradesh,2023,2,visakhapatnam,3877504
277,andhra-pradesh,2023,2,east godavari,3082893
278,andhra-pradesh,2023,2,krishna,3054956
279,andhra-pradesh,2023,2,guntur,3014655
280,andhra-pradesh,2023,2,chittoor,2865250
281,andhra-pradesh,2023,2,anantapur,2323796
282,andhra-pradesh,2023,2,kurnool,2202517
283,andhra-pradesh,2023,2,west godavari,2059880
284,andhra-pradesh,2023,2,spsr nellore,1811781
285,andhra-pradesh,2023,2,prakasam,1792637
286,arunachal-pradesh,2018,1,papum pare,7649
287,arunachal-pradesh,2018,1,west kameng,2202
288,arunachal-pradesh,2018,1,east siang,1803
289,arunachal-pradesh,2018,1,tawang,1525
290,arunachal-pradesh,2018,1,changlang,1208
291,arunachal-pradesh,2018,1,lohit,1207
292,arunachal-pradesh,2018,1,west siang,846
293,arunachal-pradesh,2018,1,namsai,737
294,arunachal-pradesh,2018,1,lower dibang valley,601
295,arunachal-pradesh,2018,1,upper subansiri,572
296,arunachal-pradesh,2018,2,papum pare,11418
297,arunachal-pradesh,2018,2,west kameng,3442
298,arunachal-pradesh,2018,2,east siang,2646
299,arunachal-pradesh,2018,2,tawang,2266
300,arunachal-pradesh,2018,2,changlang,2014
301,arunachal-pradesh,2018,2,lohit,1898
302,arunachal-pradesh,2018,2,namsai,1276
303,arunachal-pradesh,2018,2,west siang,1224
304,arunachal-pradesh,2018,2,lower dibang valley,893
305,arunachal-pradesh,2018,2,upper subansiri,883
306,arunachal-pradesh,2018,3,papum pare,16009
307,arunachal-pradesh,2018,3,west kameng,4765
308,arunachal-pradesh,2018,3,east siang,3590
309,arunachal-pradesh,2018,3,tawang,3112
310,arunachal-pradesh,2018,3,changlang,2889
311,arunachal-pradesh,2018,3,lohit,2612
312,arunachal-pradesh,2018,3,namsai,1862
313,arunachal-pradesh,2018,3,west siang,1652
314,arunachal-pradesh,2018,3,lower dibang valley,1286
315,arunachal-pradesh,2018,3,tirap,1226
316,arunachal-pradesh,2018,4,papum pare,21342
317,arunachal-pradesh,2018,4,west kameng,6492
318,arunachal-pradesh,2018,4,east siang,4813
319,arunachal-pradesh,2018,4,tawang,4085
320,arunachal-pradesh,2018,4,changlang,4036
321,arunachal-pradesh,2018,4,lohit,3588
322,arunachal-pradesh,2018,4,namsai,2495
323,arunachal-pradesh,2018,4,west siang,2117
324,arunachal-pradesh,2018,4,lower dibang valley,1827
325,arunachal-pradesh,2018,4,tirap,1684
326,arunachal-pradesh,2019,1,papum pare,26298
327,arunachal-pradesh,2019,1,west kameng,8115
328,arunachal-pradesh,2019,1,east siang,5899
329,arunachal-pradesh,2019,1,changlang,5210
330,arunachal-pradesh,2019,1,tawang,5023
331,arunachal-pradesh,2019,1,lohit,4416
332,arunachal-pradesh,2019,1,namsai,3153
333,arunachal-pradesh,2019,1,west siang,2656
334,arunachal-pradesh,2019,1,lower dibang valley,2314
335,arunachal-pradesh,2019,1,tirap,2082
336,arunachal-pradesh,2019,2,papum pare,32800
337,arunachal-pradesh,2019,2,west kameng,9782
338,arunachal-pradesh,2019,2,east siang,7319
339,arunachal-pradesh,2019,2,changlang,6884
340,arunachal-pradesh,2019,2,tawang,5908
341,arunachal-pradesh,2019,2,lohit,5485
342,arunachal-pradesh,2019,2,namsai,3914
343,arunachal-pradesh,2019,2,west siang,3393
344,arunachal-pradesh,2019,2,lower dibang valley,2842
345,arunachal-pradesh,2019,2,tirap,2697
346,arunachal-pradesh,2019,3,papum pare,38845
347,arunachal-pradesh,2019,3,west kameng,11186
348,arunachal-pradesh,2019,3,east siang,8571
349,arunachal-pradesh,2019,3,changlang,8145
350,arunachal-pradesh,2019,3,tawang,6553
351,arunachal-pradesh,2019,3,lohit,6421
352,arunachal-pradesh,2019,3,namsai,4563
353,arunachal-pradesh,2019,3,west siang,4101
354,arunachal-pradesh,2019,3,lower dibang valley,3398
355,arunachal-pradesh,2019,3,tirap,3099
356,arunachal-pradesh,2019,4,papum pare,44746
357,arunachal-pradesh,2019,4,west kameng,12562
358,arunachal-pradesh,2019,4,east siang,9859
359,arunachal-pradesh,2019,4,changlang,9662
360,arunachal-pradesh,2019,4,lohit,7386
361,arunachal-pradesh,2019,4,tawang,7303
362,arunachal-pradesh,2019,4,namsai,5190
363,arunachal-pradesh,2019,4,west siang,4773
364,arunachal-pradesh,2019,4,lower dibang valley,3944
365,arunachal-pradesh,2019,4,tirap,3605
366,arunachal-pradesh,2020,1,papum pare,51342
367,arunachal-pradesh,2020,1,west kameng,13983
368,arunachal-pradesh,2020,1,east siang,11298
369,arunachal-pradesh,2020,1,changlang,11262
370,arunachal-pradesh,2020,1,lohit,8454
371,arunachal-pradesh,2020,1,tawang,8048
372,arunachal-pradesh,2020,1,namsai,6029
373,arunachal-pradesh,2020,1,west siang,5757
374,arunachal-pradesh,2020,1,lower dibang valley,4650
375,arunachal-pradesh,2020,1,lower subansiri,4351
376,arunachal-pradesh,2020,2,papum pare,59968
377,arunachal-pradesh,2020,2,west kameng,15766
378,arunachal-pradesh,2020,2,changlang,14036
379,arunachal-pradesh,2020,2,east siang,13601
380,arunachal-pradesh,2020,2,lohit,10154
381,arunachal-pradesh,2020,2,tawang,8993
382,arunachal-pradesh,2020,2,namsai,7426
383,arunachal-pradesh,2020,2,west siang,7239
384,arunachal-pradesh,2020,2,lower dibang valley,5782
385,arunachal-pradesh,2020,2,lower subansiri,5392
386,arunachal-pradesh,2020,3,papum pare,69419
387,arunachal-pradesh,2020,3,west kameng,17636
388,arunachal-pradesh,2020,3,changlang,16385
389,arunachal-pradesh,2020,3,east siang,15921
390,arunachal-pradesh,2020,3,lohit,11755
391,arunachal-pradesh,2020,3,tawang,9944
392,arunachal-pradesh,2020,3,west siang,8623
393,arunachal-pradesh,2020,3,namsai,8553
394,arunachal-pradesh,2020,3,lower dibang valley,6799
395,arunachal-pradesh,2020,3,lower subansiri,6456
396,arunachal-pradesh,2020,4,papum pare,77936
397,arunachal-pradesh,2020,4,west kameng,19464
398,arunachal-pradesh,2020,4,changlang,18203
399,arunachal-pradesh,2020,4,east siang,17822
400,arunachal-pradesh,2020,4,lohit,13126
401,arunachal-pradesh,2020,4,tawang,10909
402,arunachal-pradesh,2020,4,west siang,9911
403,arunachal-pradesh,2020,4,namsai,9437
404,arunachal-pradesh,2020,4,lower dibang valley,7693
405,arunachal-pradesh,2020,4,lower subansiri,7388
406,arunachal-pradesh,2021,1,papum pare,84715
407,arunachal-pradesh,2021,1,west kameng,21027
408,arunachal-pradesh,2021,1,changlang,19716
409,arunachal-pradesh,2021,1,east siang,19342
410,arunachal-pradesh,2021,1,lohit,14231
411,arunachal-pradesh,2021,1,tawang,11778
412,arunachal-pradesh,2021,1,west siang,10836
413,arunachal-pradesh,2021,1,namsai,10242
414,arunachal-pradesh,2021,1,lower dibang valley,8402
415,arunachal-pradesh,2021,1,lower subansiri,8044
416,arunachal-pradesh,2021,2,papum pare,90871
417,arunachal-pradesh,2021,2,west kameng,22625
418,arunachal-pradesh,2021,2,changlang,21404
419,arunachal-pradesh,2021,2,east siang,20817
420,arunachal-pradesh,2021,2,lohit,15360
421,arunachal-pradesh,2021,2,tawang,12636
422,arunachal-pradesh,2021,2,west siang,11657
423,arunachal-pradesh,2021,2,namsai,11111
424,arunachal-pradesh,2021,2,lower dibang valley,9094
425,arunachal-pradesh,2021,2,lower subansiri,8685
426,arunachal-pradesh,2021,3,papum pare,97854
427,arunachal-pradesh,2021,3,west kameng,24489
428,arunachal-pradesh,2021,3,changlang,23328
429,arunachal-pradesh,2021,3,east siang,22538
430,arunachal-pradesh,2021,3,lohit,16680
431,arunachal-pradesh,2021,3,tawang,13650
432,arunachal-pradesh,2021,3,west siang,12616
433,arunachal-pradesh,2021,3,namsai,12140
434,arunachal-pradesh,2021,3,lower dibang valley,9920
435,arunachal-pradesh,2021,3,lower subansiri,9451
436,arunachal-pradesh,2021,4,papum pare,104806
437,arunachal-pradesh,2021,4,west kameng,26237
438,arunachal-pradesh,2021,4,changlang,25155
439,arunachal-pradesh,2021,4,east siang,24208
440,arunachal-pradesh,2021,4,lohit,17980
441,arunachal-pradesh,2021,4,tawang,14665
442,arunachal-pradesh,2021,4,west siang,13555
443,arunachal-pradesh,2021,4,namsai,13092
444,arunachal-pradesh,2021,4,lower dibang valley,10679
445,arunachal-pradesh,2021,4,lower subansiri,10187
446,arunachal-pradesh,2022,1,papum pare,111271
447,arunachal-pradesh,2022,1,west kameng,27860
448,arunachal-pradesh,2022,1,changlang,26904
449,arunachal-pradesh,2022,1,east siang,25763
450,arunachal-pradesh,2022,1,lohit,19214
451,arunachal-pradesh,2022,1,tawang,15589
452,arunachal-pradesh,2022,1,west siang,14420
453,arunachal-pradesh,2022,1,namsai,14054
454,arunachal-pradesh,2022,1,lower dibang valley,11401
455,arunachal-pradesh,2022,1,lower subansiri,10854
456,arunachal-pradesh,2022,2,papum pare,117568
457,arunachal-pradesh,2022,2,west kameng,29424
458,arunachal-pradesh,2022,2,changlang,28495
459,arunachal-pradesh,2022,2,east siang,27240
460,arunachal-pradesh,2022,2,lohit,20325
461,arunachal-pradesh,2022,2,tawang,16475
462,arunachal-pradesh,2022,2,west siang,15231
463,arunachal-pradesh,2022,2,namsai,14887
464,arunachal-pradesh,2022,2,lower dibang valley,12040
465,arunachal-pradesh,2022,2,lower subansiri,11479
466,arunachal-pradesh,2022,3,papum pare,124095
467,arunachal-pradesh,2022,3,west kameng,30964
468,arunachal-pradesh,2022,3,changlang,29965
469,arunachal-pradesh,2022,3,east siang,28698
470,arunachal-pradesh,2022,3,lohit,21385
471,arunachal-pradesh,2022,3,tawang,17281
472,arunachal-pradesh,2022,3,west siang,16063
473,arunachal-pradesh,2022,3,namsai,15642
474,arunachal-pradesh,2022,3,lower dibang valley,12668
475,arunachal-pradesh,2022,3,lower subansiri,12085
476,arunachal-pradesh,2022,4,papum pare,130306
477,arunachal-pradesh,2022,4,west kameng,32237
478,arunachal-pradesh,2022,4,changlang,31196
479,arunachal-pradesh,2022,4,east siang,30033
480,arunachal-pradesh,2022,4,lohit,22359
481,arunachal-pradesh,2022,4,tawang,18003
482,arunachal-pradesh,2022,4,west siang,16816
483,arunachal-pradesh,2022,4,namsai,16322
484,arunachal-pradesh,2022,4,lower dibang valley,13188
485,arunachal-pradesh,2022,4,lower subansiri,12630
486,arunachal-pradesh,2023,1,papum pare,136357
487,arunachal-pradesh,2023,1,west kameng,33625
488,arunachal-pradesh,2023,1,changlang,32646
489,arunachal-pradesh,2023,1,east siang,31416
490,arunachal-pradesh,2023,1,lohit,23429
491,arunachal-pradesh,2023,1,tawang,18817
492,arunachal-pradesh,2023,1,west siang,17590
493,arunachal-pradesh,2023,1,namsai,17064
494,arunachal-pradesh,2023,1,lower dibang valley,13811
495,arunachal-pradesh,2023,1,lower subansiri,13220
496,arunachal-pradesh,2023,2,papum pare,141879
497,arunachal-pradesh,2023,2,west kameng,35075
498,arunachal-pradesh,2023,2,changlang,34286
499,arunachal-pradesh,2023,2,east siang,32826
500,arunachal-pradesh,2023,2,lohit,24522
501,arunachal-pradesh,2023,2,tawang,19674
502,arunachal-pradesh,2023,2,west siang,18396
503,arunachal-pradesh,2023,2,namsai,17877
504,arunachal-pradesh,2023,2,lower dibang valley,14441
505,arunachal-pradesh,2023,2,lower subansiri,13816
506,assam,2018,1,kamrup metropolitan,87336
507,assam,2018,1,dibrugarh,21182
508,assam,2018,1,barpeta,20485
509,assam,2018,1,nagaon,19619
510,assam,2018,1,cachar,19567
511,assam,2018,1,sonitpur,18986
512,assam,2018,1,jorhat,16442
513,assam,2018,1,tinsukia,15998
514,assam,2018,1,kamrup,15241
515,assam,2018,1,dhubri,11421
516,assam,2018,2,kamrup metropolitan,124720
517,assam,2018,2,dibrugarh,30527
518,assam,2018,2,barpeta,29882
519,assam,2018,2,nagaon,29412
520,assam,2018,2,cachar,29381
521,assam,2018,2,sonitpur,28409
522,assam,2018,2,tinsukia,23900
523,assam,2018,2,jorhat,23683
524,assam,2018,2,kamrup,23595
525,assam,2018,2,dhubri,16701
526,assam,2018,3,kamrup metropolitan,164101
527,assam,2018,3,barpeta,41158
528,assam,2018,3,cachar,40888
529,assam,2018,3,dibrugarh,40711
530,assam,2018,3,nagaon,40687
531,assam,2018,3,sonitpur,38797
532,assam,2018,3,kamrup,33197
533,assam,2018,3,tinsukia,32870
534,assam,2018,3,jorhat,32134
535,assam,2018,3,dhubri,22705
536,assam,2018,4,kamrup metropolitan,214212
537,assam,2018,4,barpeta,55068
538,assam,2018,4,nagaon,54395
539,assam,2018,4,cachar,53209
540,assam,2018,4,dibrugarh,52539
541,assam,2018,4,sonitpur,51420
542,assam,2018,4,kamrup,44868
543,assam,2018,4,tinsukia,42624
544,assam,2018,4,jorhat,41100
545,assam,2018,4,dhubri,30132
546,assam,2019,1,kamrup metropolitan,255112
547,assam,2019,1,barpeta,67729
548,assam,2019,1,nagaon,66306
549,assam,2019,1,cachar,64241
550,assam,2019,1,dibrugarh,62656
551,assam,2019,1,sonitpur,62218
552,assam,2019,1,kamrup,54910
553,assam,2019,1,tinsukia,51108
554,assam,2019,1,jorhat,48594
555,assam,2019,1,dhubri,36652
556,assam,2019,2,kamrup metropolitan,299219
557,assam,2019,2,barpeta,80544
558,assam,2019,2,nagaon,79322
559,assam,2019,2,cachar,76533
560,assam,2019,2,dibrugarh,74342
